12451,SRR9888327_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
26480,SRR9888335_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
34803,SRR9888339_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
45843,SRR9888331_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
62517,SRR9888302_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
1236037,SRR9888321_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
1353095,SRR9888307_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
1816503,SRR9888314_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
2613598,SRR9888301_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
4950459,SRR9888303_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
14780394,SRR9888304_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
15345012,SRR9888338_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
17186402,SRR9888325_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
17189671,SRR9888323_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
18691139,SRR9888316_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
18892816,SRR9888340_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
19029964,SRR9888311_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
19364337,SRR9888326_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
19592921,SRR9888334_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
20345435,SRR9888310_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
20401939,SRR9888328_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
20961387,SRR9888309_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
20989963,SRR9888317_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
21062646,SRR9888324_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
21093265,SRR9888318_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
21666949,SRR9888330_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
21872647,SRR9888332_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
22269317,SRR9888322_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
22400916,SRR9888308_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
22966316,SRR9888315_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
23179149,SRR9888336_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
23206803,SRR9888329_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
23247343,SRR9888333_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
23275542,SRR9888341_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
23684788,SRR9888337_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
25173232,SRR9888320_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
25441752,SRR9888305_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
25606872,SRR9888313_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
25635085,SRR9888312_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
25691020,SRR9888306_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
26245707,SRR9888319_1.mergeCpG.bed.CpG_report.merged_CpG_evidence.cov
